priority,pair_id,english_page,spanish_page,page_name,placement,current_asset,requested_filename,shot_brief_en,shot_brief_es,recommended_dimensions,crop_guidance,delivery_format,target_web_weight,rights_requirement,status
Critical,CAT001,/,/es/,Chocó Andino Tours,hero,/assets/cat_park_page_02.jpg,assets/images/pages/replacements/cat001-hero.jpg,Layered cloud forest mountains in the Chocó Andino of Ecuador,Montañas de bosque nublado en el Chocó Andino de Ecuador,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT001,/,/es/,Chocó Andino Tours,content_card,/assets/cta_park_page_03.jpg,assets/images/pages/replacements/cat001-card-01.jpg,Misty green mountains and forest in the Chocó Andino,Montañas verdes y neblina en el Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT001,/,/es/,Chocó Andino Tours,content_card,/assets/images/pages/home/cacao-pod.jpg,assets/images/pages/replacements/cat001-card-02.jpg,Fresh cacao pod opened to show cacao beans,Mazorca de cacao abierta para mostrar sus semillas,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT001,/,/es/,Chocó Andino Tours,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat001-card-03.jpg,Rural road lined with palms in northwest Ecuador,Camino rural rodeado de palmas en el noroccidente del Ecuador,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,hero,/assets/cta_park_page_03.jpg,assets/images/pages/replacements/cat002-hero.jpg,Misty forested mountains in the Chocó Andino of Ecuador,Montañas boscosas con neblina en el Chocó Andino del Ecuador,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/cat_park_page_02.jpg,assets/images/pages/replacements/cat002-card-01.jpg,Wide view across the Chocó Andino mountains,Vista amplia de las montañas del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/cta_park_page_03.jpg,assets/images/pages/replacements/cat002-card-02.jpg,Green mountains on a Chocó Andino route,Montañas verdes en una ruta del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/images/pages/home/cacao-pod.jpg,assets/images/pages/replacements/cat002-card-03.jpg,Fresh cacao pod and cacao beans,Mazorca de cacao fresca y semillas de cacao,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat002-card-04.jpg,Rural road through palm-covered hills in northwest Ecuador,Camino rural entre colinas con palmas en el noroccidente del Ecuador,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat002-card-05.jpg,Binoculars overlooking cloud forest habitat,Binoculares frente al hábitat del bosque nublado,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/images/pages/placeholders/placeholder-hero.jpg,assets/images/pages/replacements/cat002-card-06.jpg,Photography equipment facing Chocó Andino forest,Equipo fotográfico frente al bosque del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,hero,/assets/cat_park_page_02.jpg,assets/images/pages/replacements/cat003-hero.jpg,Cloud forest valleys and mountains in Ecuador's Chocó Andino,Valles y montañas de bosque nublado en el Chocó Andino del Ecuador,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/images/pages/home/cacao-pod.jpg,assets/images/pages/replacements/cat003-card-01.jpg,Fresh cacao pod opened to show cacao beans,Mazorca de cacao fresca abierta para mostrar sus semillas,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/images/pages/home/coffee-cherries.jpg,assets/images/pages/replacements/cat003-card-02.jpg,Red and green coffee cherries growing on a coffee plant,Cerezas rojas y verdes creciendo en una planta de café,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat003-card-03.jpg,Rural road and palms in a Chocó Andino community landscape,Camino rural y palmas en un paisaje comunitario del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/images/pages/home/cacao-processing.jpg,assets/images/pages/replacements/cat003-card-04.jpg,Cacao beans sorted during a chocolate-making demonstration,Semillas de cacao clasificadas durante una demostración de chocolate,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/cta_park_page_03.jpg,assets/images/pages/replacements/cat003-card-05.jpg,Misty Chocó Andino cloud forest landscape,Paisaje con neblina del bosque nublado del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat003-card-06.jpg,Binoculars overlooking cloud forest habitat,Binoculares frente al hábitat del bosque nublado,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT004,/book-tour/,/es/reservar-tour/,Book a Chocó Andino Tour,hero,/assets/cat_park_page_02.jpg,assets/images/pages/replacements/cat004-hero.jpg,Layered cloud forest mountains in the Chocó Andino,Montañas y bosque nublado del Chocó Andino,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT005,/contact/,/es/contacto/,Contact Chocó Andino Tours,hero,/assets/cat_park_page_02.jpg,assets/images/pages/replacements/cat005-hero.jpg,Cloud forest mountains in Ecuador's Chocó Andino,Montañas de bosque nublado en el Chocó Andino ecuatoriano,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT005,/contact/,/es/contacto/,Contact Chocó Andino Tours,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat005-card-01.jpg,Clouds moving across a Chocó Andino landscape,Nubes sobre un paisaje del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT005,/contact/,/es/contacto/,Contact Chocó Andino Tours,content_card,/assets/images/pages/home/cacao-processing.jpg,assets/images/pages/replacements/cat005-card-02.jpg,Cacao beans during a local chocolate demonstration,Granos de cacao durante una demostración local de chocolate,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
Critical,CAT005,/contact/,/es/contacto/,Contact Chocó Andino Tours,content_card,/assets/cta_park_page_03.jpg,assets/images/pages/replacements/cat005-card-03.jpg,Misty forest landscape in the Chocó Andino,Paisaje de bosque con neblina en el Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
High,CAT006,/about/,/es/sobre-nosotros/,About Chocó Andino Tours,hero,/assets/cat_park_page_02.jpg,assets/images/pages/replacements/cat006-hero.jpg,Forested mountains and mist in Ecuador's Chocó Andino,Montañas con bosque y neblina en el Chocó Andino ecuatoriano,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
High,CAT006,/about/,/es/sobre-nosotros/,About Chocó Andino Tours,content_card,/assets/images/pages/home/cacao-pod.jpg,assets/images/pages/replacements/cat006-card-01.jpg,Cacao pod used to discuss producer and food experiences,Mazorca de cacao para representar experiencias productivas y gastronómicas,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
High,CAT006,/about/,/es/sobre-nosotros/,About Chocó Andino Tours,content_card,/assets/cta_park_page_03.jpg,assets/images/pages/replacements/cat006-card-02.jpg,Misty forest landscape representing regional route planning,Paisaje de bosque con neblina que representa la planificación regional,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
High,CAT006,/about/,/es/sobre-nosotros/,About Chocó Andino Tours,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat006-card-03.jpg,Clouds moving through forest in the Chocó Andino,Nubes atravesando el bosque del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT007,/choco-andino-travel-guide/,/es/guia-de-viaje-choco-andino/,Chocó Andino Travel Guide,hero,/assets/cat_park_page_02.jpg,assets/images/pages/replacements/cat007-hero.jpg,Forested mountains and cloud layers in Ecuador's Chocó Andino,Montañas con bosque y capas de nubes en el Chocó Andino ecuatoriano,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_for_unique_page_imagery
