pair_id,review_order,build_phase,priority,decision,page_type,topic_cluster,cluster_role,language,page_path,page_url,counterpart_path,counterpart_url,canonical_url,hreflang_en_url,hreflang_es_url,hreflang_x_default_url,page_name,title_tag,meta_description,h1,primary_keyword,counterpart_primary_keyword,secondary_keywords,search_intent,audience_segment,funnel_stage,content_goal,conversion_goal,product_codes,product_truth_status,primary_cta,secondary_cta,required_internal_links,sister_site_target,schema_types,css_cluster,analytics_page_type,analytics_events,primary_entity,supporting_entities,answer_first_question,faq_topics,geo_entities,image_direction,source_basis,cannibalization_guard,content_min_words,content_max_words,sitemap_include,sitemap_priority,sitemap_changefreq,indexability,build_status,human_review_required,qa_requirements,implementation_notes
CAT001,1,phase_0,Critical,replace_and_expand,homepage,site_foundation,pillar,en,/,https://chocoandinotours.com/,/es/,https://chocoandinotours.com/es/,https://chocoandinotours.com/,https://chocoandinotours.com/,https://chocoandinotours.com/es/,https://chocoandinotours.com/,Chocó Andino Tours,"Chocó Andino Tours Ecuador | Culture, Nature and Cloud Forest","Explore the Chocó Andino through local culture, cacao, coffee, cloud forest landscapes and community-led experiences northwest of Quito.",Chocó Andino Tours,Chocó Andino tours Ecuador,tours en el Chocó Andino Ecuador,Chocó Andino Ecuador | northwest Quito | local guided experience,commercial_navigation,independent_travelers_couples_families_small_groups,bottom,Answer the core planning question for Chocó Andino Tours and move the visitor to the correct next decision.,"Qualified tour request, WhatsApp conversation or intentional sister-site handoff",TBD_CAT_PRODUCT_MAP,mixed_active,Explore tours,Request a custom plan,/tours/ | /experiences/ | /choco-andino-travel-guide/ | /book-tour/,,Organization | WebSite | WebPage | BreadcrumbList,hub,homepage,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Chocó Andino Tours,Chocó Andino de Pichincha Biosphere Reserve | Pichincha | Ecuador,What should a traveler know before choosing Chocó Andino Tours?,What is this experience or place? | Who is it best for? | How long should I allow? | What must be confirmed before visiting?,Chocó Andino de Pichincha | northwest Quito | Pichincha | Ecuador,"Authentic regional landscape, producer, community or cultural image with permission; avoid generic stock and wildlife promises.",Current ChocoAndinoTours homepage; UNESCO biosphere profile; sister-site search data,Keep the page centered on the wider Chocó Andino; link narrow Mindo activity and specialist birding intent to sister sites.,1100,1700,yes,1.0,weekly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Replace coming-soon page with the bilingual brand and conversion gateway.
CAT001,1,phase_0,Critical,replace_and_expand,homepage,site_foundation,pillar,es,/es/,https://chocoandinotours.com/es/,/,https://chocoandinotours.com/,https://chocoandinotours.com/es/,https://chocoandinotours.com/,https://chocoandinotours.com/es/,https://chocoandinotours.com/,Tours en el Chocó Andino,"Tours en el Chocó Andino | Cultura, Naturaleza y Bosque Nublado","Explora el Chocó Andino mediante su cultura local, cacao, café, paisajes de bosque nublado y experiencias comunitarias al noroccidente de Quito.",Tours en el Chocó Andino,tours en el Chocó Andino Ecuador,Chocó Andino tours Ecuador,Chocó Andino Ecuador | noroccidente de Quito | experiencia guiada local,commercial_navigation,independent_travelers_couples_families_small_groups,bottom,Responder la pregunta principal sobre Tours en el Chocó Andino y llevar al visitante a la siguiente decisión correcta.,"Solicitud calificada, conversación por WhatsApp o derivación intencional al sitio hermano",TBD_CAT_PRODUCT_MAP,mixed_active,Explorar tours,Solicitar un plan personalizado,/es/tours/ | /es/experiencias/ | /es/guia-de-viaje-choco-andino/ | /es/reservar-tour/,,Organization | WebSite | WebPage | BreadcrumbList,hub,homepage,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Tours en el Chocó Andino,Reserva de Biósfera del Chocó Andino de Pichincha | Pichincha | Ecuador,¿Qué debe saber un viajero antes de elegir Tours en el Chocó Andino?,¿Qué es esta experiencia o lugar? | ¿Para quién es adecuada? | ¿Cuánto tiempo se necesita? | ¿Qué se debe confirmar antes de visitar?,Chocó Andino de Pichincha | noroccidente de Quito | Pichincha | Ecuador,"Imagen auténtica de paisaje, productor, comunidad o cultura con permiso; evitar fotos genéricas y promesas de fauna.",Current ChocoAndinoTours homepage; UNESCO biosphere profile; sister-site search data,Mantener el enfoque en el Chocó Andino amplio; dirigir actividades puntuales de Mindo y aviturismo especializado a sitios hermanos.,1100,1700,yes,1.0,weekly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Replace coming-soon page with the bilingual brand and conversion gateway.
CAT002,2,phase_0,Critical,create,commercial_hub,tours,pillar,en,/tours/,https://chocoandinotours.com/tours/,/es/tours/,https://chocoandinotours.com/es/tours/,https://chocoandinotours.com/tours/,https://chocoandinotours.com/tours/,https://chocoandinotours.com/es/tours/,https://chocoandinotours.com/tours/,Chocó Andino Tours and Guided Routes,Chocó Andino Tours and Guided Routes | Ecuador,"Compare private day trips, cacao and coffee routes, community visits and nature-focused journeys across the Chocó Andino near Quito.",Chocó Andino Tours and Guided Routes,Chocó Andino tours,tours en el Chocó Andino,Chocó Andino Ecuador | northwest Quito | local guided experience,commercial,independent_travelers_couples_families_small_groups,middle,Answer the core planning question for Chocó Andino Tours and Guided Routes and move the visitor to the correct next decision.,"Qualified tour request, WhatsApp conversation or intentional sister-site handoff",TBD_CAT_PRODUCT_MAP,mixed_active_needs_mapping,Compare tours,Request a private route,/private-tours-choco-andino/ | /choco-andino-day-trip-from-quito/ | /book-tour/,,CollectionPage | ItemList | WebPage | BreadcrumbList,hub,commercial_hub,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Chocó Andino Tours and Guided Routes,Chocó Andino de Pichincha Biosphere Reserve | Pichincha | Ecuador,What should a traveler know before choosing Chocó Andino Tours and Guided Routes?,What is this experience or place? | Who is it best for? | How long should I allow? | What must be confirmed before visiting?,Chocó Andino de Pichincha | northwest Quito | Pichincha | Ecuador,"Authentic regional landscape, producer, community or cultural image with permission; avoid generic stock and wildlife promises.",MindoTours plan structure; official Chocó Andino destination evidence,Keep the page centered on the wider Chocó Andino; link narrow Mindo activity and specialist birding intent to sister sites.,1100,1700,yes,1.0,quarterly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Commercial hub; only display confirmed products and clearly label custom routes.
CAT002,2,phase_0,Critical,create,commercial_hub,tours,pillar,es,/es/tours/,https://chocoandinotours.com/es/tours/,/tours/,https://chocoandinotours.com/tours/,https://chocoandinotours.com/es/tours/,https://chocoandinotours.com/tours/,https://chocoandinotours.com/es/tours/,https://chocoandinotours.com/tours/,Tours y Rutas Guiadas en el Chocó Andino,Tours y Rutas Guiadas en el Chocó Andino | Ecuador,"Compara excursiones privadas, rutas de cacao y café, visitas comunitarias y recorridos de naturaleza por el Chocó Andino cerca de Quito.",Tours y Rutas Guiadas en el Chocó Andino,tours en el Chocó Andino,Chocó Andino tours,Chocó Andino Ecuador | noroccidente de Quito | experiencia guiada local,commercial,independent_travelers_couples_families_small_groups,middle,Responder la pregunta principal sobre Tours y Rutas Guiadas en el Chocó Andino y llevar al visitante a la siguiente decisión correcta.,"Solicitud calificada, conversación por WhatsApp o derivación intencional al sitio hermano",TBD_CAT_PRODUCT_MAP,mixed_active_needs_mapping,Comparar tours,Solicitar una ruta privada,/es/tours-privados-choco-andino/ | /es/excursion-choco-andino-desde-quito/ | /es/reservar-tour/,,CollectionPage | ItemList | WebPage | BreadcrumbList,hub,commercial_hub,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Tours y Rutas Guiadas en el Chocó Andino,Reserva de Biósfera del Chocó Andino de Pichincha | Pichincha | Ecuador,¿Qué debe saber un viajero antes de elegir Tours y Rutas Guiadas en el Chocó Andino?,¿Qué es esta experiencia o lugar? | ¿Para quién es adecuada? | ¿Cuánto tiempo se necesita? | ¿Qué se debe confirmar antes de visitar?,Chocó Andino de Pichincha | noroccidente de Quito | Pichincha | Ecuador,"Imagen auténtica de paisaje, productor, comunidad o cultura con permiso; evitar fotos genéricas y promesas de fauna.",MindoTours plan structure; official Chocó Andino destination evidence,Mantener el enfoque en el Chocó Andino amplio; dirigir actividades puntuales de Mindo y aviturismo especializado a sitios hermanos.,1100,1700,yes,1.0,quarterly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Commercial hub; only display confirmed products and clearly label custom routes.
CAT003,3,phase_0,Critical,create,commercial_hub,experiences,pillar,en,/experiences/,https://chocoandinotours.com/experiences/,/es/experiencias/,https://chocoandinotours.com/es/experiencias/,https://chocoandinotours.com/experiences/,https://chocoandinotours.com/experiences/,https://chocoandinotours.com/es/experiencias/,https://chocoandinotours.com/experiences/,Chocó Andino Experiences,"Chocó Andino Experiences | Culture, Food and Nature","Discover cacao, coffee, local food, community tourism, cloud forest and conservation experiences in Ecuador’s Chocó Andino.",Chocó Andino Experiences,Chocó Andino experiences,experiencias en el Chocó Andino,Chocó Andino Ecuador | northwest Quito | local guided experience,commercial,independent_travelers_couples_families_small_groups,middle,Answer the core planning question for Chocó Andino Experiences and move the visitor to the correct next decision.,"Qualified tour request, WhatsApp conversation or intentional sister-site handoff",TBD_CAT_PRODUCT_MAP,mixed_active_needs_mapping,Explore experiences,Build a mixed day,/experiences/cacao-chocolate-choco-andino/ | /experiences/coffee-farms-choco-andino/ | /community-tourism-choco-andino/ | /book-tour/,,CollectionPage | ItemList | WebPage | BreadcrumbList,hub,commercial_hub,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Chocó Andino Experiences,Chocó Andino de Pichincha Biosphere Reserve | Pichincha | Ecuador,What should a traveler know before choosing Chocó Andino Experiences?,What is this experience or place? | Who is it best for? | How long should I allow? | What must be confirmed before visiting?,Chocó Andino de Pichincha | northwest Quito | Pichincha | Ecuador,"Authentic regional landscape, producer, community or cultural image with permission; avoid generic stock and wildlife promises.",Quito Turismo creative-experience evidence; staff activity catalog,Keep the page centered on the wider Chocó Andino; link narrow Mindo activity and specialist birding intent to sister sites.,1100,1700,yes,1.0,quarterly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Experience-led hub distinct from the general activity catalog on MindoTours.
CAT003,3,phase_0,Critical,create,commercial_hub,experiences,pillar,es,/es/experiencias/,https://chocoandinotours.com/es/experiencias/,/experiences/,https://chocoandinotours.com/experiences/,https://chocoandinotours.com/es/experiencias/,https://chocoandinotours.com/experiences/,https://chocoandinotours.com/es/experiencias/,https://chocoandinotours.com/experiences/,Experiencias en el Chocó Andino,Experiencias en el Chocó Andino | Cultura y Naturaleza,"Descubre cacao, café, gastronomía local, turismo comunitario, bosque nublado y conservación en el Chocó Andino del Ecuador.",Experiencias en el Chocó Andino,experiencias en el Chocó Andino,Chocó Andino experiences,Chocó Andino Ecuador | noroccidente de Quito | experiencia guiada local,commercial,independent_travelers_couples_families_small_groups,middle,Responder la pregunta principal sobre Experiencias en el Chocó Andino y llevar al visitante a la siguiente decisión correcta.,"Solicitud calificada, conversación por WhatsApp o derivación intencional al sitio hermano",TBD_CAT_PRODUCT_MAP,mixed_active_needs_mapping,Explorar experiencias,Armar un día combinado,/es/experiencias/cacao-y-chocolate-choco-andino/ | /es/experiencias/fincas-de-cafe-choco-andino/ | /es/turismo-comunitario-choco-andino/ | /es/reservar-tour/,,CollectionPage | ItemList | WebPage | BreadcrumbList,hub,commercial_hub,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Experiencias en el Chocó Andino,Reserva de Biósfera del Chocó Andino de Pichincha | Pichincha | Ecuador,¿Qué debe saber un viajero antes de elegir Experiencias en el Chocó Andino?,¿Qué es esta experiencia o lugar? | ¿Para quién es adecuada? | ¿Cuánto tiempo se necesita? | ¿Qué se debe confirmar antes de visitar?,Chocó Andino de Pichincha | noroccidente de Quito | Pichincha | Ecuador,"Imagen auténtica de paisaje, productor, comunidad o cultura con permiso; evitar fotos genéricas y promesas de fauna.",Quito Turismo creative-experience evidence; staff activity catalog,Mantener el enfoque en el Chocó Andino amplio; dirigir actividades puntuales de Mindo y aviturismo especializado a sitios hermanos.,1100,1700,yes,1.0,quarterly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Experience-led hub distinct from the general activity catalog on MindoTours.
CAT004,4,phase_0,Critical,create,lead_form,conversion,conversion,en,/book-tour/,https://chocoandinotours.com/book-tour/,/es/reservar-tour/,https://chocoandinotours.com/es/reservar-tour/,https://chocoandinotours.com/book-tour/,https://chocoandinotours.com/book-tour/,https://chocoandinotours.com/es/reservar-tour/,https://chocoandinotours.com/book-tour/,Book a Chocó Andino Tour,Book a Chocó Andino Tour | Private Request,"Send one request for a private Chocó Andino tour, cultural experience or custom route with dates, group size and travel priorities.",Book a Chocó Andino Tour,book Chocó Andino tour,reservar tour Chocó Andino,Chocó Andino Ecuador | northwest Quito | local guided experience,transactional,independent_travelers_couples_families_small_groups,bottom,Answer the core planning question for Book a Chocó Andino Tour and move the visitor to the correct next decision.,"Qualified tour request, WhatsApp conversation or intentional sister-site handoff",TBD_CAT_PRODUCT_MAP,shared_backend_requires_configuration,Send booking request,Continue on WhatsApp,/tours/ | /experiences/ | /contact/,,ContactPage | WebPage | BreadcrumbList,conversion,lead_form,form_start | turnstile_success | booking_submit | booking_success | booking_error | whatsapp_click | email_click,Book a Chocó Andino Tour,Chocó Andino de Pichincha Biosphere Reserve | Pichincha | Ecuador,What should a traveler know before choosing Book a Chocó Andino Tour?,What is this experience or place? | Who is it best for? | How long should I allow? | What must be confirmed before visiting?,Chocó Andino de Pichincha | northwest Quito | Pichincha | Ecuador,"Authentic regional landscape, producer, community or cultural image with permission; avoid generic stock and wildlife promises.",MindoTours secure bilingual lead-form workflow,Keep the page centered on the wider Chocó Andino; link narrow Mindo activity and specialist birding intent to sister sites.,450,800,yes,1.0,monthly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,"Use secure server-side submission, Turnstile, attribution, CRM and bilingual emails."
CAT004,4,phase_0,Critical,create,lead_form,conversion,conversion,es,/es/reservar-tour/,https://chocoandinotours.com/es/reservar-tour/,/book-tour/,https://chocoandinotours.com/book-tour/,https://chocoandinotours.com/es/reservar-tour/,https://chocoandinotours.com/book-tour/,https://chocoandinotours.com/es/reservar-tour/,https://chocoandinotours.com/book-tour/,Reservar un Tour en el Chocó Andino,Reservar un Tour en el Chocó Andino | Solicitud Privada,"Envía una solicitud para un tour privado, experiencia cultural o ruta personalizada con fechas, número de personas y prioridades de viaje.",Reservar un Tour en el Chocó Andino,reservar tour Chocó Andino,book Chocó Andino tour,Chocó Andino Ecuador | noroccidente de Quito | experiencia guiada local,transactional,independent_travelers_couples_families_small_groups,bottom,Responder la pregunta principal sobre Reservar un Tour en el Chocó Andino y llevar al visitante a la siguiente decisión correcta.,"Solicitud calificada, conversación por WhatsApp o derivación intencional al sitio hermano",TBD_CAT_PRODUCT_MAP,shared_backend_requires_configuration,Enviar solicitud,Continuar por WhatsApp,/es/tours/ | /es/experiencias/ | /es/contacto/,,ContactPage | WebPage | BreadcrumbList,conversion,lead_form,form_start | turnstile_success | booking_submit | booking_success | booking_error | whatsapp_click | email_click,Reservar un Tour en el Chocó Andino,Reserva de Biósfera del Chocó Andino de Pichincha | Pichincha | Ecuador,¿Qué debe saber un viajero antes de elegir Reservar un Tour en el Chocó Andino?,¿Qué es esta experiencia o lugar? | ¿Para quién es adecuada? | ¿Cuánto tiempo se necesita? | ¿Qué se debe confirmar antes de visitar?,Chocó Andino de Pichincha | noroccidente de Quito | Pichincha | Ecuador,"Imagen auténtica de paisaje, productor, comunidad o cultura con permiso; evitar fotos genéricas y promesas de fauna.",MindoTours secure bilingual lead-form workflow,Mantener el enfoque en el Chocó Andino amplio; dirigir actividades puntuales de Mindo y aviturismo especializado a sitios hermanos.,450,800,yes,1.0,monthly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,"Use secure server-side submission, Turnstile, attribution, CRM and bilingual emails."
CAT005,5,phase_0,Critical,create,contact_page,conversion,conversion,en,/contact/,https://chocoandinotours.com/contact/,/es/contacto/,https://chocoandinotours.com/es/contacto/,https://chocoandinotours.com/contact/,https://chocoandinotours.com/contact/,https://chocoandinotours.com/es/contacto/,https://chocoandinotours.com/contact/,Contact Chocó Andino Tours,Contact Chocó Andino Tours | Plan Your Visit,"Contact the team about private routes, cacao and coffee visits, community experiences, transport and custom Chocó Andino planning.",Contact Chocó Andino Tours,contact Chocó Andino Tours,contacto Chocó Andino Tours,Chocó Andino Ecuador | northwest Quito | local guided experience,transactional,independent_travelers_couples_families_small_groups,bottom,Answer the core planning question for Contact Chocó Andino Tours and move the visitor to the correct next decision.,"Qualified tour request, WhatsApp conversation or intentional sister-site handoff",TBD_CAT_PRODUCT_MAP,shared_backend_requires_configuration,Send a message,Message on WhatsApp,/tours/ | /experiences/ | /contact/,,ContactPage | WebPage | BreadcrumbList,conversion,contact_page,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Contact Chocó Andino Tours,Chocó Andino de Pichincha Biosphere Reserve | Pichincha | Ecuador,What should a traveler know before choosing Contact Chocó Andino Tours?,What is this experience or place? | Who is it best for? | How long should I allow? | What must be confirmed before visiting?,Chocó Andino de Pichincha | northwest Quito | Pichincha | Ecuador,"Authentic regional landscape, producer, community or cultural image with permission; avoid generic stock and wildlife promises.",MindoTours contact workflow,Keep the page centered on the wider Chocó Andino; link narrow Mindo activity and specialist birding intent to sister sites.,450,800,yes,1.0,monthly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Contact and booking forms must share attribution and duplicate-safe persistence.
CAT005,5,phase_0,Critical,create,contact_page,conversion,conversion,es,/es/contacto/,https://chocoandinotours.com/es/contacto/,/contact/,https://chocoandinotours.com/contact/,https://chocoandinotours.com/es/contacto/,https://chocoandinotours.com/contact/,https://chocoandinotours.com/es/contacto/,https://chocoandinotours.com/contact/,Contacto Chocó Andino Tours,Contacto Chocó Andino Tours | Planifica tu Visita,"Comunícate con el equipo sobre rutas privadas, visitas de cacao y café, experiencias comunitarias, transporte y planes personalizados.",Contacto Chocó Andino Tours,contacto Chocó Andino Tours,contact Chocó Andino Tours,Chocó Andino Ecuador | noroccidente de Quito | experiencia guiada local,transactional,independent_travelers_couples_families_small_groups,bottom,Responder la pregunta principal sobre Contacto Chocó Andino Tours y llevar al visitante a la siguiente decisión correcta.,"Solicitud calificada, conversación por WhatsApp o derivación intencional al sitio hermano",TBD_CAT_PRODUCT_MAP,shared_backend_requires_configuration,Enviar un mensaje,Escribir por WhatsApp,/es/tours/ | /es/experiencias/ | /es/contacto/,,ContactPage | WebPage | BreadcrumbList,conversion,contact_page,page_view | scroll_50 | cta_click | internal_link_click | whatsapp_click,Contacto Chocó Andino Tours,Reserva de Biósfera del Chocó Andino de Pichincha | Pichincha | Ecuador,¿Qué debe saber un viajero antes de elegir Contacto Chocó Andino Tours?,¿Qué es esta experiencia o lugar? | ¿Para quién es adecuada? | ¿Cuánto tiempo se necesita? | ¿Qué se debe confirmar antes de visitar?,Chocó Andino de Pichincha | noroccidente de Quito | Pichincha | Ecuador,"Imagen auténtica de paisaje, productor, comunidad o cultura con permiso; evitar fotos genéricas y promesas de fauna.",MindoTours contact workflow,Mantener el enfoque en el Chocó Andino amplio; dirigir actividades puntuales de Mindo y aviturismo especializado a sitios hermanos.,450,800,yes,1.0,monthly,index_follow,planned,yes,EN/ES parity | self-canonical | reciprocal hreflang | x-default EN | unique title/meta/H1 | valid schema | mobile QA | CTA/event QA | no price unless confirmed,Contact and booking forms must share attribution and duplicate-safe persistence.
