priority,pair_id,english_page,spanish_page,page_name,placement,current_asset,requested_filename,shot_brief_en,shot_brief_es,recommended_dimensions,crop_guidance,delivery_format,target_web_weight,rights_requirement,status
Critical,CAT001,/,/es/,Chocó Andino Tours,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat001-card-03.jpg,Rural road lined with palms in northwest Ecuador,Camino rural rodeado de palmas en el noroccidente del Ecuador,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat002-card-04.jpg,Rural road through palm-covered hills in northwest Ecuador,Camino rural entre colinas con palmas en el noroccidente del Ecuador,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat002-card-05.jpg,Binoculars overlooking cloud forest habitat,Binoculares frente al hábitat del bosque nublado,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT002,/tours/,/es/tours/,Chocó Andino Tours and Guided Routes,content_card,/assets/images/pages/placeholders/placeholder-hero.jpg,assets/images/pages/replacements/cat002-card-06.jpg,Photography equipment facing Chocó Andino forest,Equipo fotográfico frente al bosque del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat003-card-03.jpg,Rural road and palms in a Chocó Andino community landscape,Camino rural y palmas en un paisaje comunitario del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT003,/experiences/,/es/experiencias/,Chocó Andino Experiences,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat003-card-06.jpg,Binoculars overlooking cloud forest habitat,Binoculares frente al hábitat del bosque nublado,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Critical,CAT005,/contact/,/es/contacto/,Contact Chocó Andino Tours,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat005-card-01.jpg,Clouds moving across a Chocó Andino landscape,Nubes sobre un paisaje del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT006,/about/,/es/sobre-nosotros/,About Chocó Andino Tours,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat006-card-03.jpg,Clouds moving through forest in the Chocó Andino,Nubes atravesando el bosque del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT007,/choco-andino-travel-guide/,/es/guia-de-viaje-choco-andino/,Chocó Andino Travel Guide,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat007-card-01.jpg,Clouds over forested ridges in the Chocó Andino,Nubes sobre las cordilleras boscosas del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT008,/choco-andino-biosphere-reserve/,/es/reserva-de-biosfera-choco-andino/,Chocó Andino Biosphere Reserve,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat008-card-03.jpg,Clouds moving through a forested landscape,Nubes atravesando un paisaje de bosque,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT009,/things-to-do-in-choco-andino/,/es/que-hacer-en-el-choco-andino/,Things to Do in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-hero.jpg,assets/images/pages/replacements/cat009-card-01.jpg,Rural community landscape in the Chocó Andino,Paisaje comunitario rural del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT009,/things-to-do-in-choco-andino/,/es/que-hacer-en-el-choco-andino/,Things to Do in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat009-card-04.jpg,Clouds moving through forested ridges,Nubes sobre cordilleras cubiertas de bosque,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT009,/things-to-do-in-choco-andino/,/es/que-hacer-en-el-choco-andino/,Things to Do in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat009-card-05.jpg,Water and forest scenery in the Andean foothills,Agua y bosque en las estribaciones andinas,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT010,/choco-andino-day-trip-from-quito/,/es/excursion-choco-andino-desde-quito/,Chocó Andino Day Trip from Quito,content_card,/assets/images/pages/placeholders/placeholder-hero.jpg,assets/images/pages/replacements/cat010-card-01.jpg,Rural landscape and local activity in the Chocó Andino,Paisaje rural y actividad local en el Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT010,/choco-andino-day-trip-from-quito/,/es/excursion-choco-andino-desde-quito/,Chocó Andino Day Trip from Quito,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat010-card-03.jpg,Clouds moving through forested ridges in the Chocó Andino,Nubes entre cordilleras boscosas del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT011,/private-tours-choco-andino/,/es/tours-privados-choco-andino/,Private Tours in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-hero.jpg,assets/images/pages/replacements/cat011-card-02.jpg,Local outdoor setting suitable for a private family route,Espacio local al aire libre apropiado para una ruta familiar privada,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT011,/private-tours-choco-andino/,/es/tours-privados-choco-andino/,Private Tours in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat011-card-03.jpg,Cloud forest ridges for a small-group regional tour,Cordilleras de bosque nublado para un tour regional de grupo pequeño,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT011,/private-tours-choco-andino/,/es/tours-privados-choco-andino/,Private Tours in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat011-card-06.jpg,Forest and river landscape for a nature-focused route,Paisaje de bosque y río para una ruta de naturaleza,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT013,/experiences/coffee-farms-choco-andino/,/es/experiencias/fincas-de-cafe-choco-andino/,Coffee Farm Experiences in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat013-card-02.jpg,Rural forest setting representing post-harvest coffee work,Entorno rural boscoso que representa el trabajo de poscosecha,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT014,/food-and-culture-choco-andino/,/es/gastronomia-y-cultura-choco-andino/,Food and Culture of the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat014-card-03.jpg,A local setting suitable for a hosted meal or food conversation,Espacio local apropiado para una comida y conversación con anfitriones,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT014,/food-and-culture-choco-andino/,/es/gastronomia-y-cultura-choco-andino/,Food and Culture of the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-hero.jpg,assets/images/pages/replacements/cat014-card-04.jpg,Rural community landscape in the Chocó Andino,Paisaje comunitario rural del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT015,/community-tourism-choco-andino/,/es/turismo-comunitario-choco-andino/,Community Tourism in the Chocó Andino,hero,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat015-hero.jpg,Rural road lined with palms under a broad sky in the Chocó Andino,Camino rural rodeado de palmas bajo el cielo del Chocó Andino,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT015,/community-tourism-choco-andino/,/es/turismo-comunitario-choco-andino/,Community Tourism in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat015-card-01.jpg,Rural access road through a productive landscape,Camino rural que atraviesa un paisaje productivo,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT015,/community-tourism-choco-andino/,/es/turismo-comunitario-choco-andino/,Community Tourism in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat015-card-06.jpg,Clouds moving across forested mountains in the Chocó Andino,Nubes entre montañas boscosas del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT016,/responsible-travel-choco-andino/,/es/viaje-responsable-choco-andino/,Responsible Travel in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat016-card-02.jpg,Rural road passing through a palm-filled landscape,Camino rural que atraviesa un paisaje con palmas,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT016,/responsible-travel-choco-andino/,/es/viaje-responsable-choco-andino/,Responsible Travel in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat016-card-03.jpg,Binoculars resting beside a forest viewpoint,Binoculares junto a un mirador de bosque,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
High,CAT016,/responsible-travel-choco-andino/,/es/viaje-responsable-choco-andino/,Responsible Travel in the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat016-card-06.jpg,Clouds moving through a forested mountain landscape,Nubes desplazándose entre montañas boscosas,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT017,/yumbo-culture-choco-andino/,/es/cultura-yumbo-choco-andino/,Yumbo Culture and the Chocó Andino,hero,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat017-hero.jpg,Rural road lined with palms through the mountain landscape of northwestern Pichincha,Camino rural rodeado de palmas en el paisaje montañoso del noroccidente de Pichincha,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT017,/yumbo-culture-choco-andino/,/es/cultura-yumbo-choco-andino/,Yumbo Culture and the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat017-card-02.jpg,Narrow rural route recalling movement through the western slopes,Camino rural angosto que recuerda el movimiento por las laderas occidentales,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT017,/yumbo-culture-choco-andino/,/es/cultura-yumbo-choco-andino/,Yumbo Culture and the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat017-card-03.jpg,Clouds across a mountain landscape containing archaeological sites,Nubes sobre un paisaje montañoso que contiene sitios arqueológicos,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT017,/yumbo-culture-choco-andino/,/es/cultura-yumbo-choco-andino/,Yumbo Culture and the Chocó Andino,content_card,/assets/images/pages/placeholders/placeholder-gallery.jpg,assets/images/pages/replacements/cat017-card-06.jpg,Binoculars on a table overlooking a forested landscape,Binoculares sobre una mesa frente a un paisaje boscoso,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT018,/tulipe-archaeological-site/,/es/sitio-arqueologico-tulipe/,Tulipe Archaeological Site Visitor Guide,hero,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat018-hero.jpg,Rural mountain route through northwestern Pichincha near Tulipe,Ruta rural de montaña por el noroccidente de Pichincha cerca de Tulipe,1800x1350 minimum,4:3 source; keep subject inside center square safe area,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",400 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT018,/tulipe-archaeological-site/,/es/sitio-arqueologico-tulipe/,Tulipe Archaeological Site Visitor Guide,content_card,/assets/images/pages/placeholders/placeholder-clouds.jpg,assets/images/pages/replacements/cat018-card-01.jpg,Cloud-covered slopes in the Chocó Andino landscape,Laderas cubiertas de nubes en el paisaje del Chocó Andino,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
Medium,CAT018,/tulipe-archaeological-site/,/es/sitio-arqueologico-tulipe/,Tulipe Archaeological Site Visitor Guide,content_card,/assets/images/pages/placeholders/placeholder-tour.jpg,assets/images/pages/replacements/cat018-card-03.jpg,Rural path recalling movement through steep regional terrain,Camino rural que recuerda el movimiento por el terreno empinado de la región,1600x900 minimum,16:9 landscape; keep subject away from edges,"High-quality JPG, TIFF or PNG original; site copy will be optimized to WebP",250 KB or less,Owned or licensed for commercial web use; identifiable people require permission,replace_now_placeholder
